ET  1. 187.
ET  2. 186.
ET  3. 187.
ET  4. 186.
ET  5. 187.
ET  6. 186.
ET  7. 187.
ET  8. 186.
ET  9. 187.
ET 10. 186.
ET 11. 187.
ET 12. 186.
ET 13. 154.

 LIST ALL SELECTED NODES.   DSYS=      0

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Advanced                  

 00396707  VERSION=WINDOWS x64   19:58:17  MAR 27, 2018 CP=     11.250

 Fricke&Doerk--Static Structural (B5)                                          



   NODE        X                   Y                   Z
        1   -39.8823732500         5.04025258200         8.20836759200     
        2   -83.3756044200         5.43210378600         9.08824452300     
        3   -93.1907648000         5.24817326400         9.06614102500     
        4   -103.573248000         4.33150859200         9.66673457100     
        5   -98.5218837200         4.92924695800         8.95848469800     
        6   -88.3885870200         5.46204576500         8.90258589500     
        7   -78.3901032200         4.73536583900         8.51599389000     
        8   -73.4675971900         4.65280930800         8.27300675200     
        9   -58.8218874000         5.00550294200         8.63068174800     
       10   -67.0754726600         3.22866710800         69.7377096800     
       11   -36.7041412100         4.29805763400         7.62359383900     
       12   -53.2843345000         3.75905272500         28.8480366100     
       13   -106.227042400         2.72824215200         16.4249041000     
       14   -122.266332200         3.70688102200         9.12784631200     
       15   -63.7885963200         4.96345585900         8.95226382000     
       16   -126.908662600         4.24967335400         8.51725262500     
       17   -30.4324211700         5.92833310700         9.46486214800     
       18   -84.8973527500         3.57097177000         10.5015239000     
       19   -43.9560261500         5.12718467800         8.74433806300     
       20   -68.2867569800         5.25256068200         8.93639116500     
       21   -115.160531100         2.59340722800         9.66405620900     
       22   -67.6966747300         2.71542320200         89.3752586700     
       23   -88.9516082800         2.18050504000         41.5187374200     
       24   -109.561107300         4.88126673600         11.9324622900     
       25   -96.6053940200         2.58764775000         23.7898652400     
       26   -74.6791170800         3.71011410700         42.0428463100     
       27   -89.4809813100         2.71382238700         10.3472991600     
       28   -66.1849527000         3.75253930900         43.7474395000     
       29   -53.4486263500         5.13666683500         8.67043864300     
